Recipe ID,Recipe Name,shared_molecule_Compound_ID,Compound_CAS_Number
R000001,Chicken Tikka Masala,292,111-87-5
R000001,Chicken Tikka Masala,806,78-83-1
R000001,Chicken Tikka Masala,295,93-15-2
R000001,Chicken Tikka Masala,811,544-63-8
R000001,Chicken Tikka Masala,298,64-18-6
R000001,Chicken Tikka Masala,299,112-05-0
R000001,Chicken Tikka Masala,301,106-32-1
R000001,Chicken Tikka Masala,818,3188-00-9
R000001,Chicken Tikka Masala,308,89-74-7
R000001,Chicken Tikka Masala,822,90-02-8
R000001,Chicken Tikka Masala,827,497-03-0
R000001,Chicken Tikka Masala,317,141-78-6
R000001,Chicken Tikka Masala,322,67-64-1
R000001,Chicken Tikka Masala,836,7786-61-0
R000001,Chicken Tikka Masala,841,32736-91-7
R000001,Chicken Tikka Masala,847,119-36-8
R000001,Chicken Tikka Masala,848,1073-11-6
R000001,Chicken Tikka Masala,338,98-00-0
R000001,Chicken Tikka Masala,346,23696-85-7
R000001,Chicken Tikka Masala,867,101-41-7
R000001,Chicken Tikka Masala,357,79-31-2
R000001,Chicken Tikka Masala,358,334-48-5
R000001,Chicken Tikka Masala,361,586-62-9
R000001,Chicken Tikka Masala,1069,515-00-4
R000001,Chicken Tikka Masala,374,91-64-5
R000001,Chicken Tikka Masala,378,546-79-2
R000001,Chicken Tikka Masala,893,600-14-6
R000001,Chicken Tikka Masala,384,116-53-0
R000001,Chicken Tikka Masala,906,76-49-3
R000001,Chicken Tikka Masala,909,110-43-0
R000001,Chicken Tikka Masala,398,108-29-2
R000001,Chicken Tikka Masala,911,1122-62-9
R000001,Chicken Tikka Masala,400,111-70-6
R000001,Chicken Tikka Masala,913,107-92-6
R000001,Chicken Tikka Masala,918,107-87-9
R000001,Chicken Tikka Masala,920,2628-17-3
R000001,Chicken Tikka Masala,921,5392-40-5
R000001,Chicken Tikka Masala,410,25152-84-5
R000001,Chicken Tikka Masala,413,557-48-2
R000001,Chicken Tikka Masala,926,108-50-9
R000001,Chicken Tikka Masala,415,127-41-3
R000001,Chicken Tikka Masala,424,3777-69-3
R000001,Chicken Tikka Masala,426,89-83-8
R000001,Chicken Tikka Masala,431,99999-08-0
R000001,Chicken Tikka Masala,434,115-95-7
R000001,Chicken Tikka Masala,435,36653-82-4
R000001,Chicken Tikka Masala,670,112-31-2
R000001,Chicken Tikka Masala,438,19317-11-4
R000001,Chicken Tikka Masala,951,4602-84-0
R000001,Chicken Tikka Masala,440,582-24-1
R000001,Chicken Tikka Masala,441,105-90-8
R000001,Chicken Tikka Masala,442,7212-44-4
R000001,Chicken Tikka Masala,671,64-19-7
R000001,Chicken Tikka Masala,445,123-15-9
R000001,Chicken Tikka Masala,958,123-72-8
