Compound_ID
1426
1355
1015
1427
1428
1429
1430
954
1432
1433
1434
1435
1436
1437
0
1438
1439
1440
1441
1442
1064
1443
1444
1445
1446
1447
1447
1448
1449
1450
1451
1452
1453
1454
1455
1456
1457
374
912
1458
1459
235
1415
1416
786
90
645
556
556
1417
1418
1419
798
761
1401
630
1420
703
1421
1422
1377
1423
34
1070
586
703
1424
1411
1412
1413
338
1414
517
384
1425
