	Index	ALogP	ALogP_MR	Estate_AtomTypes	Estate_AtomValues	Estate_Counts	Estate_Keys	Estate_NumUnknown	Apol	Molecular_Weight	Num_AromaticRings	Num_Atoms	Num_H_Acceptors	Num_H_Donors	Num_Rings	Num_RotatableBonds	Taste	NumChiralCenters
1993	1994.0	0.021	40.853	"34
15
23
52
34
34
16
16
11
50
11"	"10.858
-0.527
1.878
-3.501
10.999
10.999
0.104
0.259
1.523
1.208
1.446"	"0
0
0
0
0
0
0
0
0
0
0
2
0
0
0
1
2
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
3
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
0
0
0
0
0
2.97
0
0
0
-0.527
0.363
0
0
0
0
0
0
1.878
0
0
0
0
0
0
0
0
0
0
32.857
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.208
0
-3.501
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	8046.64	189.21200000000002	1.0	11.0	3.0	1.0	2.0	0.0	Non-Bitter	2
1994	1995.0	2.852	55.838	"33
27
10
15
10
8
12
8
8
18
53
6
6"	"8.346
3.02
1.511
1.11
2.109
0.983
0.532
1.077
0.963
-0.127
6.224
2.053
2.053"	"0
0
0
0
0
0
2
0
3
0
2
0
1
0
0
1
0
0
1
0
0
0
0
0
0
0
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
4.107
0
3.024
0
3.62
0
0.532
0
0
1.11
0
0
-0.127
0
0
0
0
0
0
0
0
3.02
0
0
0
0
0
8.346
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
6.224
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	7803.88	201.69299999999998	0.0	13.0	2.0	1.0	1.0	2.0	Non-Bitter	0
1995	1996.0	1.051	28.574	"33
27
10
16
11
11
11
36"	"7.947
2.759
1.222
0.548
1.694
1.719
1.51
4.764"	"0
0
0
0
0
0
0
0
0
0
1
3
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
0
0
0
0
1.222
4.924
0
0
0
0
0.548
0
0
0
0
0
0
0
0
0
0
2.759
0
0
0
0
0
7.947
0
0
4.764
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	4405.4	111.09899999999999	1.0	8.0	2.0	1.0	1.0	1.0	Non-Bitter	0
1996	1997.0	0.525	35.118	"33
27
10
16
11
11
16
36
8
33"	"8.048
2.753
1.151
0.422
1.602
1.608
0.453
4.913
-0.14
8.518"	"0
0
0
0
0
0
0
0
1
0
1
2
0
0
0
0
2
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
2
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
0
0
-0.14
0
1.151
3.21
0
0
0
0
0.876
0
0
0
0
0
0
0
0
0
0
2.753
0
0
0
0
0
16.566
0
0
4.913
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	5263.46	141.125	1.0	10.0	3.0	2.0	1.0	2.0	Non-Bitter	0
1997	1998.0	2.8960000000000004	58.137	"33
27
10
16
11
11
16
36
8
16
11
11
11
11
11"	"8.328
2.907
1.272
0.558
1.775
1.878
0.857
5.418
0.75
1.193
2.043
1.994
1.981
1.994
2.043"	"0
0
0
0
0
0
0
0
1
0
1
7
0
0
0
0
3
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
0
0
0.75
0
1.272
13.713
0
0
0
0
2.61
0
0
0
0
0
0
0
0
0
0
2.907
0
0
0
0
0
8.328
0
0
5.418
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	8801.38	201.22099999999998	2.0	15.0	2.0	1.0	2.0	3.0	Non-Bitter	2
1998	1999.0	2.428	41.931999999999995	"33
27
10
15
10
8
8
8
8
8"	"8.238
3.007
1.546
1.18
2.159
1.14
1.28
1.304
1.233
1.073"	"0
0
0
0
0
0
0
0
5
0
2
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
0
0
6.033
0
3.706
0
0
0
0
1.18
0
0
0
0
0
0
0
0
0
0
0
3.007
0
0
0
0
0
8.238
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	5285.74	139.195	0.0	10.0	2.0	1.0	1.0	1.0	Non-Bitter	0
1999	2000.0	2.011	36.455	"33
27
10
12
8
8
8
8
8"	"8.187
3.034
1.665
0.558
1.212
1.302
1.356
1.302
1.212"	"0
0
0
0
0
0
0
0
5
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
0
0
6.386
0
1.665
0
0.558
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3.034
0
0
0
0
0
8.187
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	4457.84	127.184	0.0	9.0	2.0	1.0	1.0	1.0	Non-Bitter	0
2000	2001.0	1.858	82.613	"6
15
34
35
12
12
35
16
16
15
34
16
33
11
16
11
33
16
11
11
16
16
11
33
33"	"1.115
-0.74
11.384
5.051
-1.413
-1.143
5.647
-9.4e-002
-0.22
-0.717
12.709
-0.51
9.922
0.969
-0.318
1.143
9.594
0.253
1.386
1.193
-0.37
-0.445
1.164
9.67
9.426"	"0
0
0
0
0
0
1
0
0
0
0
5
2
0
0
2
7
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
4
2
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
1.115
0
0
0
0
5.856
-2.555
0
0
-1.456
-1.702
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
38.613
24.093
10.699
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	13308.8	346.288	2.0	25.0	8.0	4.0	3.0	3.0	Non-Bitter	1
2001	2002.0	0.8320000000000001	34.638000000000005	"20
15
34
16
11
11
11
11
11"	"4.974
-0.38
10.423
0.553
1.682
1.777
1.839
1.777
1.682"	"0
0
0
0
0
0
0
0
0
0
0
5
0
0
0
1
1
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
0
0
0
0
0
8.761
0
0
0
-0.38
0.553
0
0
0
4.974
0
0
0
0
0
0
0
0
0
0
0
0
0
10.423
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	5424.16	121.137	1.0	9.0	1.0	1.0	1.0	1.0	Non-Bitter	0
2002	2003.0	1.7930000000000001	210.625	"6
35
15
10
10
15
23
16
11
16
53
11
11
16
15
15
23
27
15
10
15
8
29
8
8
8
8
15
34
15
10
8
29
8
8
8
8
33
45
34
33
33
33
45
34
33
33
33
45
34
33
33
33
45
34
33
33"	"1.64
5.476
0.643
1.882
1.974
0.892
3.461
0.895
1.914
0.655
6.328
1.876
1.984
0.939
0.789
0.835
3.371
5.188
0.794
1.984
0.831
0.675
2.378
1.043
1.192
1.192
1.043
0.161
13.557
0.831
1.984
0.675
2.378
1.043
1.192
1.192
1.043
7.187
-4.639
8.881
7.187
7.187
7.187
-4.639
8.881
7.187
7.187
7.187
-4.639
8.881
7.187
7.187
7.187
-4.639
8.881
7.187
7.187"	"0
0
0
0
0
0
1
0
10
0
4
3
0
0
0
8
3
0
0
0
0
0
0
2
0
0
0
1
0
2
0
0
0
12
5
1
0
0
0
0
0
0
0
0
0
4
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
1.64
0
10.291
0
7.826
5.774
0
0
0
5.78
2.491
0
0
0
0
0
0
6.833
0
0
0
5.188
0
4.756
0
0
0
86.249
49.085
5.476
0
0
0
0
0
0
0
0
0
-18.556
0
0
0
0
0
0
0
6.328
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	21241.8	910.03	1.0	57.0	23.0	14.0	6.0	6.0	Non-Bitter	0
2003	2004.0	2.3569999999999998	76.892	"6
35
16
11
11
16
11
16
33
12
8
15
34
16
16
35
11
16
11
16
33
33"	"1.441
4.972
0.32
1.577
1.684
0.597
1.462
-5.5e-002
9.825
-0.614
2.4e-002
-0.293
12.2
6.1e-002
0.119
5.685
1.28
-0.193
1.096
-0.31
9.759
9.516"	"0
0
0
0
0
0
1
0
1
0
0
5
1
0
0
1
7
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3
1
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
1.441
0
2.4e-002
0
0
7.101
-0.614
0
0
-0.293
0.543
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
29.102
12.2
10.658
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	11996.6	302.279	2.0	22.0	6.0	3.0	3.0	2.0	Non-Bitter	0
2004	2005.0	0.621	104.33	"33
16
11
16
33
16
16
11
35
12
12
15
34
35
12
35
12
6
12
12
12
33
33
33
16
11
11
16
16
11
33
33"	"9.777
-0.364
0.942
-0.57
10.196
-0.287
-0.154
1.115
5.801
-1.267
-1.546
-0.787
13.284
5.689
-1.547
5.414
-0.939
1.439
-1.389
-1.614
-1.711
10.298
10.059
9.88
0.186
1.357
1.165
-0.416
-0.498
1.135
9.891
9.609"	"0
0
0
0
0
0
1
0
0
0
0
5
7
0
0
1
7
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
7
1
3
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
1.439
0
0
0
0
5.716
-10.009
0
0
-0.787
-2.1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
69.714
13.284
16.905
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	16146.2	450.39300000000003	2.0	32.0	11.0	7.0	4.0	3.0	Non-Bitter	0
2005	2006.0	1.226	42.858000000000004	"20
15
34
23
16
11
11
11
11
16
6"	"4.943
-0.529
10.432
2.511
0.763
1.805
1.845
1.904
1.907
1.005
1.907"	"0
0
0
0
0
0
1
0
0
0
0
4
0
0
0
1
2
0
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
1.907
0
0
0
0
7.463
0
0
0
-0.529
1.769
0
0
0
4.943
0
0
2.511
0
0
0
0
0
0
0
0
0
0
10.432
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	6370.7	150.178	1.0	11.0	1.0	2.0	1.0	1.0	Non-Bitter	0
2006	2007.0	1.226	42.858000000000004	"20
15
34
23
16
11
11
11
16
11
6"	"4.924
-0.532
10.391
2.484
0.733
1.789
1.861
1.95
1.093
1.851
1.95"	"0
0
0
0
0
0
1
0
0
0
0
4
0
0
0
1
2
0
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
1.95
0
0
0
0
7.453
0
0
0
-0.532
1.827
0
0
0
4.924
0
0
2.484
0
0
0
0
0
0
0
0
0
0
10.391
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	6370.7	150.178	1.0	11.0	1.0	2.0	1.0	1.0	Non-Bitter	0
2007	2008.0	1.226	42.858000000000004	"20
15
34
23
16
11
11
16
11
11
6"	"4.912
-0.534
10.364
2.47
0.725
1.805
1.907
1.152
1.907
1.805
1.98"	"0
0
0
0
0
0
1
0
0
0
0
4
0
0
0
1
2
0
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
1.98
0
0
0
0
7.427
0
0
0
-0.534
1.878
0
0
0
4.912
0
0
2.47
0
0
0
0
0
0
0
0
0
0
10.364
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	6370.7	150.178	1.0	11.0	1.0	2.0	1.0	1.0	Non-Bitter	1
