Recipe ID,Recipe Name,shared_molecule_Compound_ID
R0000032,Sticky toffee pudding,786
R0000032,Sticky toffee pudding,338
R0000032,Sticky toffee pudding,761
R0000032,Sticky toffee pudding,798
R0000032,Sticky toffee pudding,703
R0000033,Summer Pudding,645
R0000033,Summer Pudding,586
R0000033,Summer Pudding,556
R0000033,Summer Pudding,786
R0000033,Summer Pudding,761
R0000033,Summer Pudding,90
R0000033,Summer Pudding,798
R0000033,Summer Pudding,703
R0000034,Pound Cake,384
R0000034,Pound Cake,645
R0000034,Pound Cake,586
R0000034,Pound Cake,235
R0000034,Pound Cake,556
R0000034,Pound Cake,786
R0000034,Pound Cake,630
R0000034,Pound Cake,761
R0000034,Pound Cake,798
R0000034,Pound Cake,703
R0000035,Roast beef with caramelised onion gravy,645
R0000035,Roast beef with caramelised onion gravy,586
R0000035,Roast beef with caramelised onion gravy,235
R0000035,Roast beef with caramelised onion gravy,556
R0000035,Roast beef with caramelised onion gravy,786
R0000035,Roast beef with caramelised onion gravy,761
R0000035,Roast beef with caramelised onion gravy,90
R0000035,Roast beef with caramelised onion gravy,798
R0000035,Roast beef with caramelised onion gravy,703
R0000036,Roast lamb with spring herb crumbs,645
R0000036,Roast lamb with spring herb crumbs,235
R0000036,Roast lamb with spring herb crumbs,556
R0000036,Roast lamb with spring herb crumbs,786
R0000036,Roast lamb with spring herb crumbs,338
R0000036,Roast lamb with spring herb crumbs,761
R0000036,Roast lamb with spring herb crumbs,798
R0000036,Roast lamb with spring herb crumbs,703
R0000037,Full English breakfast,645
R0000037,Full English breakfast,586
R0000037,Full English breakfast,235
R0000037,Full English breakfast,556
R0000037,Full English breakfast,786
R0000037,Full English breakfast,761
R0000037,Full English breakfast,798
R0000037,Full English breakfast,703
R0000038,Lemon syllabub,384
R0000038,Lemon syllabub,34
R0000038,Lemon syllabub,645
R0000038,Lemon syllabub,586
R0000038,Lemon syllabub,235
R0000038,Lemon syllabub,556
R0000038,Lemon syllabub,786
R0000038,Lemon syllabub,338
R0000038,Lemon syllabub,630
R0000038,Lemon syllabub,761
R0000038,Lemon syllabub,90
R0000038,Lemon syllabub,798
R0000038,Lemon syllabub,703
R0000039,Treacle Tart,645
R0000039,Treacle Tart,586
R0000039,Treacle Tart,235
R0000039,Treacle Tart,556
R0000039,Treacle Tart,338
R0000039,Treacle Tart,761
R0000039,Treacle Tart,798
R0000039,Treacle Tart,703
R0000040,Potted Shrimps,645
R0000040,Potted Shrimps,586
R0000040,Potted Shrimps,235
R0000040,Potted Shrimps,556
R0000040,Potted Shrimps,338
R0000040,Potted Shrimps,761
R0000040,Potted Shrimps,90
R0000040,Potted Shrimps,798
R0000040,Potted Shrimps,703
R0000041,Scouse,384
R0000041,Scouse,645
R0000041,Scouse,586
R0000041,Scouse,235
R0000041,Scouse,556
R0000041,Scouse,786
R0000041,Scouse,338
R0000041,Scouse,630
R0000041,Scouse,761
R0000041,Scouse,90
R0000041,Scouse,798
R0000041,Scouse,703
R0000042,Mince pies,645
R0000042,Mince pies,586
R0000042,Mince pies,235
R0000042,Mince pies,556
R0000042,Mince pies,338
R0000042,Mince pies,761
R0000042,Mince pies,798
R0000042,Mince pies,703
R0000043,Queen Of Puddings,384
R0000043,Queen Of Puddings,34
R0000043,Queen Of Puddings,645
R0000043,Queen Of Puddings,586
R0000043,Queen Of Puddings,235
R0000043,Queen Of Puddings,556
R0000043,Queen Of Puddings,786
R0000043,Queen Of Puddings,338
R0000043,Queen Of Puddings,761
R0000043,Queen Of Puddings,90
R0000043,Queen Of Puddings,798
R0000043,Queen Of Puddings,703
R0000044,Beef Pasties,645
R0000044,Beef Pasties,586
R0000044,Beef Pasties,235
R0000044,Beef Pasties,556
R0000044,Beef Pasties,786
R0000044,Beef Pasties,761
R0000044,Beef Pasties,798
R0000044,Beef Pasties,703
R0000045,Steamed Lemon Pudding with Treacle Sauce,384
R0000045,Steamed Lemon Pudding with Treacle Sauce,645
R0000045,Steamed Lemon Pudding with Treacle Sauce,586
R0000045,Steamed Lemon Pudding with Treacle Sauce,235
R0000045,Steamed Lemon Pudding with Treacle Sauce,556
R0000045,Steamed Lemon Pudding with Treacle Sauce,786
R0000045,Steamed Lemon Pudding with Treacle Sauce,338
R0000045,Steamed Lemon Pudding with Treacle Sauce,761
R0000045,Steamed Lemon Pudding with Treacle Sauce,90
R0000045,Steamed Lemon Pudding with Treacle Sauce,798
R0000045,Steamed Lemon Pudding with Treacle Sauce,703
R0000046,Spotted dick with lemon syrup,384
R0000046,Spotted dick with lemon syrup,645
R0000046,Spotted dick with lemon syrup,586
R0000046,Spotted dick with lemon syrup,235
R0000046,Spotted dick with lemon syrup,556
R0000046,Spotted dick with lemon syrup,786
R0000046,Spotted dick with lemon syrup,338
R0000046,Spotted dick with lemon syrup,761
R0000046,Spotted dick with lemon syrup,90
R0000046,Spotted dick with lemon syrup,798
R0000046,Spotted dick with lemon syrup,703
R0000047,Fifteens,645
R0000047,Fifteens,235
R0000047,Fifteens,556
R0000047,Fifteens,338
R0000047,Fifteens,761
R0000047,Fifteens,798
R0000048,Plain Madeira Cake,645
R0000048,Plain Madeira Cake,556
R0000048,Plain Madeira Cake,786
R0000048,Plain Madeira Cake,338
R0000048,Plain Madeira Cake,761
R0000048,Plain Madeira Cake,90
R0000048,Plain Madeira Cake,798
R0000049,Classic bread and butter pudding,384
R0000049,Classic bread and butter pudding,645
R0000049,Classic bread and butter pudding,586
R0000049,Classic bread and butter pudding,235
R0000049,Classic bread and butter pudding,556
R0000049,Classic bread and butter pudding,786
R0000049,Classic bread and butter pudding,338
R0000049,Classic bread and butter pudding,761
R0000049,Classic bread and butter pudding,90
R0000049,Classic bread and butter pudding,798
R0000049,Classic bread and butter pudding,703
R0000050,Swiss Roll ,384
R0000050,Swiss Roll ,645
R0000050,Swiss Roll ,586
R0000050,Swiss Roll ,235
R0000050,Swiss Roll ,556
R0000050,Swiss Roll ,786
R0000050,Swiss Roll ,761
R0000050,Swiss Roll ,90
R0000050,Swiss Roll ,798
R0000050,Swiss Roll ,703
R0000051,Liver and Onions,384
R0000051,Liver and Onions,34
R0000051,Liver and Onions,645
R0000051,Liver and Onions,586
R0000051,Liver and Onions,235
R0000051,Liver and Onions,556
R0000051,Liver and Onions,786
R0000051,Liver and Onions,761
R0000051,Liver and Onions,798
R0000051,Liver and Onions,703
R0000052,wild rabbit stew,645
R0000052,wild rabbit stew,235
R0000052,wild rabbit stew,556
R0000052,wild rabbit stew,786
R0000052,wild rabbit stew,338
R0000052,wild rabbit stew,761
R0000052,wild rabbit stew,798
R0000052,wild rabbit stew,703
R0000053,bath buns,645
R0000053,bath buns,556
R0000053,bath buns,786
R0000053,bath buns,338
R0000053,bath buns,761
R0000053,bath buns,90
R0000053,bath buns,798
R0000054,Chocolate battenberg,384
R0000054,Chocolate battenberg,645
R0000054,Chocolate battenberg,586
R0000054,Chocolate battenberg,235
R0000054,Chocolate battenberg,556
R0000054,Chocolate battenberg,786
R0000054,Chocolate battenberg,338
R0000054,Chocolate battenberg,761
R0000054,Chocolate battenberg,90
R0000054,Chocolate battenberg,798
R0000054,Chocolate battenberg,703
R0000055,Potted crab with asparagus,645
R0000055,Potted crab with asparagus,586
R0000055,Potted crab with asparagus,235
R0000055,Potted crab with asparagus,556
R0000055,Potted crab with asparagus,786
R0000055,Potted crab with asparagus,761
R0000055,Potted crab with asparagus,90
R0000055,Potted crab with asparagus,798
R0000055,Potted crab with asparagus,703
R0000056,branbury cakes,384
R0000056,branbury cakes,645
R0000056,branbury cakes,586
R0000056,branbury cakes,235
R0000056,branbury cakes,556
R0000056,branbury cakes,786
R0000056,branbury cakes,338
R0000056,branbury cakes,630
R0000056,branbury cakes,761
R0000056,branbury cakes,90
R0000056,branbury cakes,798
R0000056,branbury cakes,703
R0000057,brown shrimps on toast,761
R0000057,brown shrimps on toast,556
R0000057,brown shrimps on toast,645
R0000057,brown shrimps on toast,798
R0000058,cambridge burnt cream,645
R0000058,cambridge burnt cream,556
R0000058,cambridge burnt cream,786
R0000058,cambridge burnt cream,338
R0000058,cambridge burnt cream,90
R0000058,cambridge burnt cream,798
R0000059,Wholegrain mustard,384
R0000059,Wholegrain mustard,786
R0000059,Wholegrain mustard,338
R0000059,Wholegrain mustard,630
R0000059,Wholegrain mustard,761
R0000059,Wholegrain mustard,90
R0000059,Wholegrain mustard,798
R0000060,onion gravy,384
R0000060,onion gravy,645
R0000060,onion gravy,235
R0000060,onion gravy,556
R0000060,onion gravy,786
R0000060,onion gravy,338
R0000060,onion gravy,761
R0000060,onion gravy,798
R0000060,onion gravy,703
R0000061,Beef trencher,645
R0000061,Beef trencher,235
R0000061,Beef trencher,556
R0000061,Beef trencher,786
R0000061,Beef trencher,338
R0000061,Beef trencher,761
R0000061,Beef trencher,798
R0000061,Beef trencher,703
R0000062,Pea and ham soup,645
R0000062,Pea and ham soup,586
R0000062,Pea and ham soup,235
R0000062,Pea and ham soup,556
R0000062,Pea and ham soup,786
R0000062,Pea and ham soup,761
R0000062,Pea and ham soup,703
R0000063,Apple Crumble,761
R0000063,Apple Crumble,556
R0000063,Apple Crumble,645
R0000063,Apple Crumble,798
R0000064,Turkey Wellingtons,384
R0000064,Turkey Wellingtons,645
R0000064,Turkey Wellingtons,1401
R0000064,Turkey Wellingtons,235
R0000064,Turkey Wellingtons,556
R0000064,Turkey Wellingtons,1070
R0000064,Turkey Wellingtons,786
R0000064,Turkey Wellingtons,338
R0000064,Turkey Wellingtons,761
R0000064,Turkey Wellingtons,798
R0000065,British simnel cakes,384
R0000065,British simnel cakes,645
R0000065,British simnel cakes,586
R0000065,British simnel cakes,235
R0000065,British simnel cakes,556
R0000065,British simnel cakes,786
R0000065,British simnel cakes,338
R0000065,British simnel cakes,630
R0000065,British simnel cakes,761
R0000065,British simnel cakes,90
R0000065,British simnel cakes,798
R0000065,British simnel cakes,703
R0000066,Easy Devonshire Cream,384
R0000066,Easy Devonshire Cream,338
R0000066,Easy Devonshire Cream,556
